"text","narrator","source","grade"
"أنَّ النَّبيِّ صلَّى اللَّهُ عليهِ وسلَّمَ علَّمَها هذا الدُّعاءَ : اللَّهمَّ إنِّي أسألُكَ مِنَ الخيرِ كُلِّه، عاجِلِه وآجِلِه، ما علمتُ منهُ وما لم أعلمْ، وأعوذُ بكَ مِنَ الشَّرِّ كلِّه، عاجِلِه وآجِلِه، ما علمتُ منهُ وما لم أعلمْ، اللَّهمَّ إنِّي أسألُكَ مِن خيرِ ما سألكَ عبدُكَ ونبيُّكَ، وأعوذُ بكَ مِن شرِّ ما عاذَ منه عبدُكَ ونبيُّكَ، اللَّهمَّ إنِّي أسألُكَ الجنَّةَ وما قرَّبَ إليها مِن قولٍ أو عملٍ، وأعوذُ بكَ مِنَ النَّارِ وما قرَّبَ إليها من قولٍ أو عملٍ، وأسألُكَ أن تجعلَ كلَّ قضاءٍ قضيتَهُ لي خيرًا.","عائشة أم المؤمنين","بلوغ المرام","صحيح"
"بينما ابنُ مسعودٍ في المسجدِ وهو يدعو مر رسولُ اللهِ صلَّى اللهُ عليه وسلَّم وأبو بكرٍ فلما حاذاه رسولُ اللهِ صلَّى اللهُ عليه وسلَّم سمع دعاءَه ورسولُ اللهِ صلَّى اللهُ عليه وسلَّم لا يعرفُه فقال من هذا سلْ تُعطَه فرجع أبو بكرٍ إلى عبدِ اللهِ بنِ مسعودٍ فقال الدعاءُ الذي كنتَ تدعو به فقال حمدتُ اللهَ ومجَّدتُه ثم قلت اللهمَّ لا إلهَ إلا أنت وعدُك حقٌّ ولقاؤُك حقٌّ وكتابُك حقٌّ والنبيونَ حقٌّ ومحمدٌ صلَّى اللهُ عليه وسلَّم حقٌّ والجنةُ حقٌّ والنارُ حقٌّ ورسلُك حقٌّ.","عبدالله بن عتبة بن مسعود","مجمع الزوائد","رجاله رجال الصحيح‏‏"
"أنَّ رسولَ اللَّهِ صلَّى اللَّهُ علَيهِ وسلَّمَ علَّمَها هذا الدُّعاءَ : اللَّهمَّ إنِّي أسألُكَ مِنَ الخيرِ كلِّهِ عاجلِهِ وآجلِهِ ، ما عَلِمْتُ منهُ وما لم أعلَمْ ، وأعوذُ بِكَ منَ الشَّرِّ كلِّهِ عاجلِهِ وآجلِهِ ، ما عَلِمْتُ منهُ وما لم أعلَمْ ، اللَّهمَّ إنِّي أسألُكَ من خيرِ ما سألَكَ عبدُكَ ونبيُّكَ ، وأعوذُ بِكَ من شرِّ ما عاذَ بِهِ عبدُكَ ونبيُّكَ ، اللَّهمَّ إنِّي أسألُكَ الجنَّةَ وما قرَّبَ إليها من قَولٍ أو عملٍ ، وأعوذُ بِكَ منَ النَّارِ وما قرَّبَ إليها من قولٍ أو عملٍ ، وأسألُكَ أن تجعلَ كلَّ قَضاءٍ قضيتَهُ لي خيرًا.","عائشة أم المؤمنين","صحيح ابن ماجه","صحيح"
"كنَّا إذا جلَسْنا خلْفَ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم قُلْنا: السَّلامُ على اللهِ قبْلَ عبادِه السَّلامُ على جبريلَ السَّلامُ على ميكائيلَ السَّلامُ على فلانٍ وفلانٍ فلمَّا انصرَف رسولُ اللهِ صلَّى اللهُ عليه وسلَّم مِن الصَّلاةِ قال: ( إنَّ اللهَ هو السَّلامُ فإذا جلَس أحدُكم في الصَّلاةِ فليكُنْ مِن أوَّلِ قولِه: التَّحيَّاتُ للهِ والصَّلواتُ والطَّيِّباتُ السَّلامُ عليك أيُّها النَّبيُّ ورحمةُ اللهِ وبركاتُه السَّلامُ علينا وعلى عبادِ اللهِ الصَّالحينَ - فإذا قالها أصابت كلَّ عبدٍ صالحٍ في السَّماءِ والأرضِ - أشهَدُ أنْ لا إلهَ إلَّا اللهُ وأشهَدُ أنَّ محمَّدًا عبدُه ورسولُه ثمَّ يتخيَّرُ مِن الدُّعاءِ ما أحَبَّ ).","عبدالله بن مسعود","صحيح ابن حبان","أخرجه في صحيحه"
"( دَعْ ما يَريبُكَ إلى ما لا يَريبُكَ ) قال ( الخيرُ طُمأنينةٌ والشَّرُّ رِيبةٌ )","الحسن بن علي","صحيح ابن حبان","أخرجه في صحيحه"
"كنا إذا صلينا خلفَ رسولِ اللهِ صلَّى اللهُ عليهِ وسلمَ يقولُ الرجلُ منا في صلاتِه : السلامُ على اللهِ السلامُ على فلانٍ يخصُّ فقال لنا رسولُ اللهِ صلَّى اللهُ عليهِ وسلمَ ذاتَ يومٍ : إن اللهَ عزَّ وجلَّ هو السلامُ فإذا قعد أحدُكم في صلاتِه فليقلْ : التحياتُ للهِ والصلواتُ والطيباتُ السلامُ عليك أيُّها النبيُّ ورحمةُ اللهِ وبركاتُه السلامُ علينا وعلى عبادِ اللهِ الصالحينَ فإذا قلتم ذلك فقد سلَّمتم على كلِّ عبدٍ في السمواتِ والأرضِ أشهدُ أن لا إلهَ إلا اللهُ وأشهدُ أن محمدًا عبدُه ورسولُه ثم يتخيرُ بعدُ من الدعاءِ ما شاء أو ما أحبَّ.","عبدالله بن مسعود","تخريج المسند لشاكر","إسناده صحيح"
"كنا إذا جلسنا معَ النبيِّ صلَّى اللهُ عليهِ وسلمَ في الصلاةِ قلنا : السلامُ على اللهِ قبلَ عبادِه السلامُ على جبريلَ السلامُ على ميكائيلَ السلامُ على فلانٍ السلامُ على فلانٍ قال : فسمِعَنا رسولُ اللهِ صلَّى اللهُ عليهِ وسلمَ فقال : إن اللهَ هو السلامُ فإذا جلس أحدُكم في الصلاةِ فليقلْ : التحياتُ للهِ والصلواتُ والطيباتُ السلامُ عليك أيُّها النبيُّ ورحمةُ اللهِ وبركاتُه السلامُ علينا وعلى عبادِ اللهِ الصالحينَ فإذا قالها أصابت كلَّ عبدٍ صالحٍ في السماءِ والأرضِ أشهدُ أن لا إلهَ إلا اللهُ وأشهدُ أنَّ محمدًا عبدُه ورسولُه ثم يتخيرُ بعدُ من الدعاءِ ما شاءَ.","عبدالله بن مسعود","تخريج المسند لشاكر","إسناده صحيح"
"كنا إذا جلسنا معَ رسولِ اللهِ صلَّى اللهُ عليهِ وسلمَ في الصلاةِ قلنا : السلامُ على اللهِ من عبادِه السلامُ على فلانٍ وفلانٍ فقال رسولُ اللهِ صلَّى اللهُ عليهِ وسلمَ : لا تقولوا السلامُ على اللهِ فإن اللهَ هو السلامُ ولكن إذا جلس أحدُكم فليقلْ : التحياتُ للهِ والصلواتُ والطيباتُ السلامُ عليك أيُّها النبيُّ ورحمةُ اللهِ وبركاتُه السلامُ علينا وعلى عبادِ اللهِ الصالحينَ فإنكم إذا قُلتم ذلك أصابت كلَّ عبدٍ صالحٍ بينَ السماءِ والأرضِ أشهدُ أن لا إلهَ إلا اللهُ وأشهدُ أن محمدًا عبدُه ورسولُه ثم ليتخيرْ أحدُكم من الدعاءِ أعجَبَه إليه فليدعُ به.","عبدالله بن مسعود","تخريج المسند لشاكر","إسناده صحيح"
"أنَّ رجلًا ضريرًا أتى النبيَّ صَلَّى اللَّهُ عليْهِ وعلى آلهِ وسلَّمَ فقال : يا نبيَّ اللهِ ادعُ اللهَ أنْ يعافيَني . فقال : إنْ شئْتَ أخرْتُ ذلك فهوَ أفضلُ لآخرتِكَ ، وإنْ شئْتَ دعوْتُ لكَ قال : لا بلْ ادعُ اللهَ لي . فأمرَهُ أنْ يتوضأَ وأنْ يصليَ ركعتينِ وأنْ يدعوَ بهذا الدعاءِ : اللَّهمَّ إنِّي أسألُكَ وأتوجَّهُ إليكَ بنبيِّكَ محمدٍ صَلَّى اللَّهُ عليْهِ وعلى آلهِ وسلَّمَ نبيِّ الرحمةِ ، يا محمدُ إنِّي أتوجَّهُ بكَ إلى ربِّي في حاجَتي هذه فتَقضى , وتُشفعُني فيه وتشفعُهُ فيَّ . قال : فكان يقولُ هذا مرارًا , ثم قال بعدُ – أحسبُ أنَّ فيها : أنْ تُشفعَني فيه – قال : ففعلَ الرجلُ فبرأَ.","عثمان بن حنيف","الشفاعة للوادعي","صحيح"
"قالَتْ عائِشةُ لابنِ أبي السَّائِبِ قاصِّ أهْلِ المَدينةِ: ثَلاثًا لَتُتابِعَنِّي عليهنَّ أو لأُناجِزَنَّكَ، فقال: ما هنَّ، بل أنا أُتابِعُكِ يا أُمَّ المُؤمِنينَ، قالَتْ: اجْتَنِبِ السَّجعَ مِن الدُّعاءِ ؛ فإنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ وأصحابه كانوا لا يَفعلون ذلك -وقال إسماعيلُ مرَّةً: فقالَتْ: إنِّي عَهِدتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ وأصحابَه وهُم لا يَفعلون ذاك- وقُصَّ على الناسِ في كلِّ جُمُعةٍ مرَّةً، فإنْ أبَيْتَ فثِنْتَينِ، فإنْ أبَيْتَ فثَلاثًا؛ فلا تَمَلُّ الناسُ هذا الكِتابَ، ولا أُلْفِيَنَّكَ تَأتي القومَ وهُم في حَديثٍ مِن حَديثِهم فتَقطَعَ عليهم حَديثَهم، ولكِنِ اترُكْهم، فإذا حَدَوْكَ عليه وأمَروكَ به فحَدِّثْهم.","عائشة أم المؤمنين","تخريج المسند لشعيب","صحيح لغيره"
"إنَّ محمَّدًا صلَّى اللهُ عليه وسلَّمَ عُلِّمَ فَواتِحَ الخيرِ، وجَوامِعَه، وخَواتِمَه، فقال: إذا قَعَدتم في كلِّ ركعتَينِ، فقولوا: التَّحيَّاتُ للهِ، والصَّلَواتُ والطَّيِّباتُ، السَّلامُ عليك أيُّها النَّبيُّ ورَحمةُ اللهِ وبَركاتُه، السَّلامُ علينا وعلى عِبادِ اللهِ الصَّالحينَ، أشهَدُ أنْ لا إلهَ إلَّا اللهُ، وأشهَدُ أنَّ محمَّدًا عبدُه ورسولهُ، ثُمَّ ليَتَخيَّرْ أحدُكم مِن الدُّعاءِ أعجبَه إليه، فليَدْعُ به ربَّه عزَّ وجلَّ.","عبدالله بن مسعود","تخريج المسند لشعيب","إسناده صحيح على شرط مسلم"
"كنَّا إذا جَلَسْنا مع النَّبيِّ صلَّى اللهُ عليه وسلَّمَ في الصَّلاةِ قُلْنا: السَّلامُ على اللهِ قبلَ عِبادِه، السَّلامُ على جِبريلَ، السَّلامُ على ميكائيلِ، السَّلامُ على فُلانٍ، السَّلامُ على فُلانٍ، قال: فسَمِعَنا رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ، فقال: إنَّ اللهَ هو السَّلامُ، فإذا جَلَسَ أحدُكم في الصَّلاةِ، فليَقُلِ: التَّحيَّاتُ للهِ، والصَّلَواتُ والطَّيِّباتُ، السَّلامُ عليك أيُّها النَّبيُّ ورَحمةُ اللهِ وبَركاتُه، السَّلامُ علينا وعلى عِبادِ اللهِ الصَّالحينَ -فإذا قالها أصابَتْ كلَّ عبدٍ صالحٍ في السَّماءِ والأرضِ- أشهَدُ أنْ لا إلهَ إلَّا اللهُ، وأشهَدُ أنَّ محمَّدًا عبدُه ورسولُه، ثُمَّ يَتخَيَّرُ بعدُ مِن الدُّعاءِ ما شاء.","عبدالله بن مسعود","تخريج المسند لشعيب","إسناده صحيح على شرط الشيخين"
"أنَّ رجُلًا ضريرًا أَتى النَّبيَّ صلَّى اللهُ عليه وسلَّمَ، فقال: يا نَبيَّ اللهِ، ادْعُ اللهَ أنْ يُعافيَني، فقال: إنْ شِئتَ أخَّرْتُ ذلك؛ فهو أَفضَلُ لآخِرتِكَ، وإنْ شِئتَ دعَوْتُ لك. قال: لا بلِ ادْعُ اللهَ لي. فأمَرَه أنْ يَتوضَّأَ، وأنْ يُصلِّيَ رَكعتَينِ، وأنْ يَدْعوَ بهذا الدعاءِ : اللَّهمَّ إنِّي أَسألُك وأَتَوجَّهُ إليك بنَبيِّك محمَّدٍ صلَّى اللهُ عليه وسلَّمَ نَبيِّ الرحمةِ، يا محمَّدُ، إنِّي أَتَوَجَّهُ بك إلى ربِّي في حاجَتي هذه فتُقْضى، وتُشَفِّعُني فيه، وتُشَفِّعُه فيَّ. قال: فكان يقولُ هذا مِرارًا، ثمَّ قال بعْدُ: أَحسَبُ أنَّ فيها: أنْ تُشَفِّعَني فيه. قال: ففعَلَ الرجُلُ، فبَرَأَ.","عثمان بن حنيف","تخريج المسند لشعيب","إسناده صحيح"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ، علَّمَها هذا الدُّعاءَ : اللَّهُمَّ إنِّي أسأَلُكَ منَ الخَيرِ كلِّه عاجِلِه وآجِلِه، ما علِمْتُ منه وما لم أعلَمْ، وأَعوذُ بكَ منَ الشرِّ كلِّه، عاجِلِه وآجِلِه، ما علِمْتُ منه، وما لم أعلَمْ، اللَّهُمَّ إنِّي أسأَلُكَ من خَيرِ ما سأَلَكَ عبدُكَ ونبيُّكَ محمَّدٌ صلَّى اللهُ عليه وسلَّمَ، وأَعوذُ بكَ من شرِّ ما عاذَ منه عبدُكَ ونبيُّكَ، اللَّهُمَّ إنِّي أسأَلُكَ الجَنَّةَ وما قرَّبَ إليها من قولٍ أو عَملٍ، وأَعوذُ بكَ منَ النارِ وما قرَّبَ إليها من قولٍ أو عَملٍ، وأسأَلُكَ أنْ تَجعَلَ كلَّ قَضاءٍ تَقْضيه لي خَيرًا.","عائشة أم المؤمنين","تخريج المسند لشعيب","إسناده صحيح"
"عن عَبدِ اللهِ، قال: كُنَّا إذا جَلَسنا مَعَ رَسولِ اللهِ صلَّى اللهُ عليه وسلَّم في الصَّلاةِ، قُلنا: السَّلامُ على اللهِ مِن عِبادِه، السَّلامُ على فُلانٍ وفُلانٍ، فقال رَسولُ اللهِ صلَّى اللهُ عليه وسلَّم: «لا تَقولوا: السَّلامُ على اللهِ؛ فإنَّ اللهَ هو السَّلامُ، ولَكِن إذا جَلَسَ أحَدُكُم فليَقُلِ: التَّحيَّاتُ للهِ، والصَّلَواتُ والطَّيِّباتُ، السَّلامُ عليك أيُّها النَّبيُّ ورَحمةُ اللهِ وبَرَكاتُه، السَّلامُ علينا وعَلى عِبادِ اللهِ الصَّالِحينَ -فإنَّكُم إذا قُلتُم ذلك أصابَت كُلَّ عَبدٍ صالِحٍ بَينَ السَّماءِ والأرضِ- أشهَدُ أن لا إلَهَ إلَّا اللهُ، وأشهَدُ أنَّ مُحَمَّدًا عَبدُه ورَسولُه، ثُمَّ ليَتَخَيَّرْ أحَدُكُم مِنَ الدُّعاءِ أعجَبَه إليه، فليَدعُ به».","عبدالله بن مسعود","تخريج المسند لشعيب","إسناده صحيح على شرط الشيخين"
"عن عَبدِ اللهِ، قال: كُنَّا إذا صَلَّينا خَلفَ رَسولِ اللهِ صلَّى اللهُ عليه وسلَّم، يَقولُ الرَّجُلُ مِنَّا في صَلاتِه: السَّلامُ على اللهِ، السَّلامُ على فُلانٍ، يَخُصُّ، فقال لَنا رَسولُ اللهِ صلَّى اللهُ عليه وسلَّم ذاتَ يَومٍ: إنَّ اللهَ عَزَّ وجَلَّ هو السَّلامُ، فإذا قَعَدَ أحَدُكُم في صَلاتِه، فليَقُل: التَّحيَّاتُ للهِ، والصَّلَواتُ والطَّيِّباتُ، السَّلامُ عليك أيُّها النَّبيُّ ورَحمةُ اللهِ وبَرَكاتُه، السَّلامُ علينا وعَلى عِبادِ اللهِ الصَّالِحينَ -فإذا قُلتُم ذلك، فقد سَلَّمتُم على كُلِّ عَبدٍ في السَّماواتِ والأرضِ- أشهَدُ أن لا إلَهَ إلَّا اللهُ، وأشهَدُ أنَّ مُحَمَّدًا عَبدُه ورَسولُه، ثُمَّ يَتَخَيَّرُ مِنَ الدُّعاءِ ما شاءَ -أو ما أحَبَّ -.","عبدالله بن مسعود","تخريج المسند لشعيب","إسناده صحيح على شرط البخاري"
"عن عَبدِ اللهِ، قال: كُنَّا إذا جَلَسنا مَعَ رَسولِ اللهِ صلَّى اللهُ عليه وسلَّم في الصَّلاةِ، قُلنا: السَّلامُ على اللهِ قَبلَ عِبادِه، السَّلامُ على جِبريلَ، السَّلامُ على ميكائيلَ، السَّلامُ على فُلانٍ، السَّلامُ على فُلانٍ، فسَمِعَنا رَسولُ اللهِ صلَّى اللهُ عليه وسلَّم، فقال: إنَّ اللهَ هو السَّلامُ، فإذا جَلَسَ أحَدُكُم في الصَّلاةِ فليَقُل: التَّحيَّاتُ للهِ، والصَّلَواتُ والطَّيِّباتُ، السَّلامُ عليك أيُّها النَّبيُّ ورَحمةُ اللهِ وبَرَكاتُه، السَّلامُ علينا وعَلى عِبادِ اللهِ الصَّالِحينَ، فإذا قالها أصابَت كُلَّ عَبدٍ صالِحٍ في السَّماءِ والأرضِ، أشهَدُ أن لا إلَهَ إلَّا اللهُ، وأشهَدُ أنَّ مُحَمَّدًا عَبدُه ورَسولُه، ثُمَّ يَتَخَيَّرُ بَعدُ مِنَ الدُّعاءِ ما شاءَ.","عبدالله بن مسعود","تخريج المسند لشعيب","إسناده صحيح على شرط الشيخين"
"«كان مِن دُعاءِ رَسولِ اللهِ صلَّى اللهُ عليه وسلَّم: اللَّهُمَّ إنِّي أعوذُ بك من عِلمٍ لا يَنفَعُ، وقَلبٍ لا يخشَعُ، ونَفسٍ لا تشبَعُ، ودعاءٍ لا يُسمَعُ، اللَّهُمَّ إنِّي أعوذُ بك من هذه الأربَعِ».","أنس بن مالك","الأحاديث المختارة","لهذا الحديث شاهد في الصحيح من حديث زيد بن أرقم"
"كانَ مِن دعاءِ النَّبيِّ صلَّى اللَّهُ عليهِ وسلَّمَ اللَّهمَّ إنِّي أعوذُ بِكَ مِن عِلمٍ لا ينفعُ ومِن دعاءٍ لا يُسمَعُ ومِن قلبٍ لا يَخشعُ ومِن نفسٍ لا تشبعُ.","أبو هريرة","صحيح ابن ماجه","صحيح"
"دعاءُ الوالدِ يُفضي إلى الحجابِ.","أم حكيم بنت وادع الخزاعية","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"يرفعُ يديه [ في دعاءِ القنوتِ ].","-","صفة الصلاة","إسناده صحيح"
"كان مِن دعاءِ رسولِ اللهِ صلَّى اللهُ عليه وسلَّم: اللَّهمَّ إنِّي أعوذُ بك مِن عِلمٍ لا يَنفَعُ، وقلبٍ لا يَخشَعُ، ودُعاءٍ لا يُسمَعُ، ونفْسٍ لا تَشبَعُ، اللَّهمَّ إنِّي أعوذُ بك مِن هؤلاء الأربَعِ.","أنس بن مالك","تخريج المسند لشعيب","صحيح"
"كان مِنْ دُعاءِ النَّبيِّ صلَّى اللهُ عليه وسلَّمَ: «اللَّهُمَّ إنِّي أَعوذُ بكَ مِنْ عِلْمٍ لا يَنفَعُ، وقَلْبٍ لا يَخْشَعُ، ونَفْسٍ لا تَشْبَعُ، ودُعاءٍ لا يُسْمَعُ». ويقولُ في آخِرِ ذلك: «اللَّهُمَّ إنِّي أَعوذُ بكَ مِنْ هؤلاء الأَرْبَعِ».","أنس بن مالك","المستدرك على الصحيحين","[صحيح على شرط مسلم]"
"علِّمني دعاءً أَدعو بِهِ في صَلاتي.","أبو بكر الصديق","صحيح ابن خزيمة","أخرجه في صحيحه"
"دعاءُ المحسَنِ إليهِ للمحسِنِ لا يُرَدُّ.","عبدالله بن عمر","الجامع الصغير","صحيح"
"[ زيادةُ ] ولا يعِزُّ من عاديتَ [ في دعاءِ القنوتِ ].","الحسن بن علي بن أبي طالب","أصل صفة الصلاة","زيادة صحيحة ثابتة لا شك فيها"
"دُعاءُ الأخِ لأخِيهِ بِظَهرِ الغيْبِ لا يُرَدُّ.","عمران بن الحصين","صحيح الجامع","صحيح"
"إنه سيكونُ في هذهِ الأمةِ قومٌ يعتدّونَ في الطهورِ والدعاءِ.","عبدالله بن مغفل","المجموع للنووي","إسناده صحيح"
"وكان عليه الصَّلاةُ والسَّلامُ يُطيلُ الوُقوفَ لِلدُّعاءِ قَدْرَ سُورةِ البَقَرةِ.","-","إرشاد الساري","إسناده صحيح"
"كان من دعاءِ النَّبيِّ صلَّى اللهُ عليهِ وسلَّم : أي حيُّ أي قيومُ.","أنس بن مالك","إتحاف المهرة","على شرط الصحيح"
"يَأْتي عليكم زمانٌ لا يَنجو فيه إلَّا مَنْ دَعا دُعاءَ الغَريقِ.","حذيفة","المستدرك على الصحيحين","صحيح على شرط الشيخين"
"دُعاءُ النَّبيِّ صلَّى اللهُ عليه وسلَّم على قُرَيشٍ بسِنينَ كسِني يُوسُفَ.","-","تخريج العواصم والقواصم","صحيح"
"العجزُ والكَيسُ بقدرٍ ولا يغني الحذرُ منَ القدرِ والدعاءُ يدفعُ القدرَ.","عبدالله بن عباس","معجم الشيوخ","أوله صحيح وآخره غريب"
"إذا دخلتَ علَى مريضٍ فَمُرهُ فلْيدعُ لَك ، فإنَّ دعاءَه كدعاءِ الملائِكةِ.","عمر بن الخطاب","الأذكار للنووي","إسناده صحيح أو حسن، لكن ميمون بن مهران لم يدرك عمر"
"كان من دُعاءِ رَسولِ اللهِ صلَّى اللهُ عليه وسلَّم: يا حَيُّ يا قَيُّومُ.","أنس بن مالك","الفتوحات الربانية","صحيح"
"اللهمَّ إنِّي أعوذُ بك من علْمٍ لا ينفعُ ، و عَمَلٍ لا يُرفَعُ ، و دعاءٍ لا يُسْمَعُ.","أنس بن مالك","الجامع الصغير","صحيح"
"إِنَّ أكثرَ دعاءِ رسولِ اللهِ يامُقَلِّبَ القلوبِ ثَبِّتْ قلبي على دينِكَ.","أم سلمة أم المؤمنين","تخريج كتاب السنة","صحيح"
"اللَّهمَّ إنِّي أعوذُ بِكَ مِن دعاءٍ لا يُسمَعُ ، وأعوذُ بِكَ من قلبٍ لا يَخشعُ.","أنس بن مالك","الصحيح المسند","صحيح"
"كانَ من دعاء النَّبيِّ صلَّى اللَّه عليهِ وعلى آلِهِ وسلَّمَ – أي حيُّ أي قيُّومُ.","أنس بن مالك","الصحيح المسند","رجاله ثقات معروفون"
"اللَّهمَّ إنِّي أعوذُ بكَ من علمٍ لا ينفعُ ، ومن قلبٍ لا يخشعُ ، ونفسٍ لا تشبعُ ، ودعاءٍ لا يُسمعُ.","عبدالله بن عمر","حقيقة الإسلام و الإيمان","صحيح"
"اللَّهمَّ إنِّي أعوذُ بِكَ من عِلمٍ لا ينفعُ وقلبٍ لا يخشعُ ونفسٍ لا تشبعُ ودعاءٍ لا يسمَعُ.","-","مجموع الفتاوى","صحيح"
"اللَّهمَّ إني أعوذُ بك من علمٍ لا ينفعُ ، ومن قلبٍ لا يخشعُ ، ومن نفسٍ لا تشبعُ ، ومن دعاءٍ لا يُسمعُ.","أبو هريرة","صحيح النسائي","صحيح"
"عن عليٍّ رضيَ اللهُ عنهُ قال : كل دُعاءٍ محجوبٌ حتَّى يصلِّى على محمَّدٍ [ وآلِ محمَّدٍ ].","[عاصم بن ضمرة]","صحيح الترغيب","صحيح لغيره"
"عن عليٍّ رضي الله عنه قال: دعاءٌ محجوبٌ حتى تصليَ على محمدٍ صلَّى اللهُ عليهِ وسلَّمَ.","-","المتجر الرابح","إسناده جيد وقد روي مرفوعاً إلى النبي صلى الله عليه وسلم والصحيح الموقوف"
"أعوذُ باللَّهِ السَّميعِ العليمِ منَ الشَّيطانِ الرَّجيمِ من هَمزِه ونفخِهِ ونفثِهِ [ أي في الصَّلاةِ بعد دعاءِ الاستفتَاحِ].","أبو سعيد الخدري","الدراري المضية","صحيح"
"ادعوا اللهَ وأنتم مُوقنون بالإجابةِ ، واعلموا أنَّ اللهَ لا يستجيبُ دعاءً من قلبٍ غافلٍ لاهٍ.","أبو هريرة","صحيح الترغيب","حسن لغيره"
"اللَّهمَّ إني أعوذُ بك من الأربعِ : من علمٍ لا ينفعُ ، ومن قلبٍ لايخشعُ ، ومن نفسٍ لا تشبعُ ، ومن دعاءٍ لا يُسمعُ.","أبو هريرة","صحيح النسائي","صحيح"
"ادْعُوا اللهَ وأنتمْ مُوقِنُونَ بالإجابةِ ، واعلمُوا أنَّ اللهَ لا يَستجيبُ دُعاءً من قلْبٍ غافِلٍ لَاهٍ.","أبو هريرة","صحيح الجامع","حسن"
"عن أبي هريرةَ قالَ أبخلُ النَّاسِ الَّذي يبخلُ بالسَّلامِ وإنَّ أعجزَ النَّاسِ من عجزَ بالدُّعاءِ.","-","صحيح الأدب المفرد","صحيح الإسناد موقوفاً وصح مرفوعاً"
"ادْعوا اللهَ وأنتم موقِنونَ بالإجابةِ، واعلَموا أنَّ اللهَ لا يَقبلُ دُعاءً مِن قلبٍ غافلٍ لاهٍ.","أبو هريرة","المستدرك على الصحيحين","مستقيم الإسناد"
"عن حُذَيفةَ رَضيَ اللهُ عنه، قال: يَأتي عليكم زَمانٌ لا يَنْجو فيه إلَّا مَن دَعا دُعاءَ الغرَقِ.","عمارة بن عمير","المستدرك على الصحيحين","هذا إسناد صحيح على شرط الشيخين، ولم يخرجاه"
"حديثُ دعاءِ النَّبيِّ لابنِ عبَّاسٍ بتعلُّمِ التأويلِ [يعني حديث: اللهمَّ فقِّهْهُ في الدِّينِ وعلِّمْهُ التأويلَ.].","عبدالله بن عباس","شرح البخاري لابن الملقن","صحيح"
"لا يَأتي أحَدُكم الصَّلاةَ وهو حاقنٌ، ولا يَؤُمَّنَّ أحَدُكم فيَخُصَّ نَفْسَه بالدُّعاءِ دونَهم، فمَن فَعَلَ فقد خانَهم.","أبو أمامة الباهلي","تخريج المسند لشعيب","صحيح لغيره دون قوله: ""ولا يؤمن أحدكم ... إلخ"""
"إنَّ الرَّجُلَ لَيُحرَمُ الرِّزقَ بالذَّنبِ الَّذي يُصيبُه ولا يُرَدُّ القدَرُ إلَّا بالدُّعاءِ ولا يَزيدُ في العُمُرِ إلَّا البِرُّ.","ثوبان","صحيح ابن حبان","أخرجه في صحيحه"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ يَتعوَّذُ مِن عِلمٍ لا يَنفعُ، ودُعاءٍ لا يُسمَعُ، وقلبٍ لا يَخشعُ، ونَفس لا تَشبَعُ.","عبدالله بن عمرو","المستدرك على الصحيحين","[سكت عنه وقال في المقدمة رواته ثقات احتج بمثله الشيخان أو أحدهما]"
"صلَّيتُ خَلفَ عمرَ بنِ الخطَّابِ رضيَ اللَّهُ عنهُ فقَنَتَ بعدَ الرُّكوعِ ورفعَ يديهِ وجَهَرَ بالدُّعاءِ.","أبو رافع مولى رسول الله صلى الله عليه وسلم","السنن الكبرى للبيهقي","صحيح"
"كان عامَّةُ دُعاءِ النَّبيِّ صلَّى اللهُ عليه وسلَّم اللهمَّ اغفِرْ لي ما أخطَأْتُ وما تعمَّدْتُ وما أسرَرْتُ وما أعلَنْتُ وما جهِلْتُ وما تعمَّدْتُ.","عمران بن الحصين","مجمع الزوائد","رجاله رجال الصحيح غير عون العقيلي وهو ثقة‏‏"
"قال لي النَّبيُّ صَلَّى اللهُ عليه وسلَّمَ: إذا دخَلْتَ على مَريضٍ، فمُرْهُ أنْ يدعُوَ لك؛ فإنَّ دُعاءَه كدُعاءِ الملائكةِ.","عمر بن الخطاب","الحديث لابن عبدالوهاب","إسناده صحيح أو حسن"
"كانَ النَّبيُّ صلَّى اللَّهُ عليهِ وسلَّمَ يتعوَّذُ من عِلمٍ لا ينفَعُ ، ودعاءٍ لا يُسمَعُ ، وقلبٍ لا يَخشعُ ، ونفسٍ لا تَشبعُ.","عبدالله بن عمرو","تخريج المسند لشاكر","إسناده صحيح"
"أعوذُ بِكَ من نَفسٍ لا تَشبعُ ومِن قلبٍ لا يَخشعُ ومن دعاءٍ لا يُسمَعُ ومن عِلمٍ لا ينفعُ أعوذُ بِكَ من هؤلاءِ الأربعِ.","عبدالله بن عمرو","تخريج المسند لشاكر","إسناده صحيح"
