"text","narrator","source","grade"
"صلُّوا عليَّ واجتَهدوا في الدُّعاءِ وقولوا اللَّهمَّ صلِّ على محمَّدٍ وعلى آلِ محمَّدٍ.","زيد بن خارجة","صحيح النسائي","صحيح"
"صلُّوا عليَّ واجتهِدوا في الدعاءِ وقولوا : اللهمَّ صلِّ على محمدٍ وعلى آلِ محمَّدٍ.","زيد بن خارجة","أصل صفة الصلاة","روي من طريق أخرى بإسناد صحيح على شرط مسلم"
"أتحبُّونَ أن تجتَهِدوا في الدُّعاءِ ، قولوا : اللَّهُمَّ أعنَّا على شُكْرِكَ وذِكْرِكَ ، وحُسنِ عبادتِكَ.","أبو هريرة","الصحيح المسند","صحيح"
"إنَّ الدُّعاءَ هو العِبادةُ، ثُمَّ قَرَأَ: {وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ} [غافر: 60].","النعمان بن بشير","تخريج المسند لشعيب","إسناده صحيح"
"أَتُحِبُّون أنْ تَجتَهِدوا في الدُّعاءِ ؟ قولوا: اللَّهمَّ أَعِنَّا على شُكرِكَ، وذِكرِكَ، وحُسنِ عِبادَتِك.","أبو هريرة","تخريج المسند لشعيب","إسناده صحيح"
"لَيَنتَهيَنَّ أقوامٌ عن رَفعِهم أبصارَهم عِندَ الدُّعاءِ في الصَّلاةِ إلى السَّماءِ أو لَتُخطَفَنَّ أبصارُهم.","أبو هريرة","صحيح مسلم","[صحيح]"
"كان النَّبيُّ صلَّى اللهُ عليه وسلَّم يرفَعُ يدَيْهِ في الدُّعاءِ حتَّى يُرى بياضُ إِبْطَيْهِ.","أنس بن مالك","صحيح ابن حبان","أخرجه في صحيحه"
"إنَّ اللهَ ليَغضَبُ على مَنْ يَفعلُهُ، ولا يَفعَلُ ذلك أَحدٌ غيرُهُ. يعني في الدُّعاءِ.","أبو هريرة","المستدرك على الصحيحين","صحيح الإسناد"
"سُئلَ رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ: أيُّ الدُّعاءِ أَفضلُ؟ قالَ: دُعاءُ المَرءِ لنفسِهِ.","عائشة","المستدرك على الصحيحين","صحيح الإسناد"
"قيل يا رسولَ اللهِ أيُّ الدُّعاءِ أسمَعُ قال جوفُ اللَّيلِ الأخيرِ ودُبُرِ الصَّلواتِ المكتوباتِ.","أبو أمامة الباهلي","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"ليَنْتَهِيَنَّ ناسٌ عن رَفْعِ أبصارِهم إلى السَّماءِ عندَ الدُّعاءِ حتَّى تُخْطَفَ يعني تُخْطَفَ أبصارُهم.","أبو هريرة","مجمع الزوائد","رجاله رجال الصحيح غير أحمد بن منصور وهو ثقة‏‏"
"من سره أن يستجيبَ اللهُ له عندَ الشَّدائدِ و الكُرَبِ ، فلْيُكثِرِ الدُّعاءَ في الرَّخاءِ.","أبو هريرة","الجامع الصغير","صحيح"
"من سرَّه أنِ يستجيبَ اللهُ له عند الشدائدِ والكربِ فلْيُكثرْ من الدعاءِ في الرخاءِ.","أبو هريرة","النوافح العطرة","صحيح"
"كان النبيُّ صلَّى اللهُ عليهِ وسلَّمَ يستحبُّ الجوامعَ من الدعاءِ ويَدَعُ ما سوى ذلك.","عائشة أم المؤمنين","حاشية بلوغ المرام لابن باز","إسناده صحيح"
"كان النَّبيُّ صلَّى اللهُ عليه وسلَّم يَستَحِبُّ الجَوامِعَ مِن الدُّعاءِ ، ويَدَعُ ما سِوى ذلك.","عائشة","مجموع الشروح الفقهية.","إسناده صحيح"
"لينتَهيَنَّ أقوامٌ عن رفعِ أبصارِهم عندَ الدُّعاءِ في الصَّلاةِ إلى السَّماءِ أو لتُخطَفنَّ أبصارُهُم.","أبو هريرة","صحيح النسائي","صحيح"
